sugarField,restName,type,defaultValue,detailHookTag,detailHookStrategy,detailHookValue,editHookTag,editHookStrategy,editHookValue,previewTag,previewStrategy,previewValue,listViewDetailTag,listViewDetailStrategy,listViewDetailValue,listViewEditTag,listViewEditStrategy,listViewEditValue,filterViewTag,filterViewStrategy,filterViewValue
name,name,,Imhoff Widgets,div,css,.table-cell-wrapper [data-fieldname='name'] div,input,css,.fld_name.edit [name='name'],div,css,.preview-data .detail.fld_name div,span,css,[data-type='name'] .list.fld_name,input,css,span.edit input[name='name'],null,null,null
parentCategory,,select,,a,css,.fld_parent_name.detail a,span,css,.fld_parent_name.edit .select2-chosen,a,css,.preview-data .detail.fld_parent_name a,a,css,[data-type='relate'] .list.fld_parent_name a,span,css,.fld_parent_name.edit,null,null,null
order,list_order,,2,div,css,.fld_list_order.detail div,input,css,.fld_list_order.edit [name='list_order'],div,css,.preview-data .detail.fld_list_order div,span,css,[data-type='int'] .list.fld_list_order,input,css,.fld_list_order.edit [name='list_order'],null,null,null
description,description,,"The Product Categories module allows you to create categories to group records under a Product Type",div,css,.detail.fld_description div,input,css,.fld_description.edit [name='description'],div,css,.preview-data .detail.fld_description div,span,css,[data-type='textarea'] .list.fld_description,null,null,null,null,null,null
date_entered_date,date_entered,date,,span,css,.detail.fld_date_entered_by,null,null,null,div,css,.preview-data [name='date_entered_by'],null,null,null,null,null,null,null,null,null
date_entered_time,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
date_modified_date,date_modified,date,,span,css,.detail.fld_date_modified_by,null,null,null,div,css,.preview-data [name='date_modified_by'],null,null,null,null,null,null,null,null,null
date_modified_time,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
